Model,Approach,CV R² Mean,CV R² Std,CV MAE
Linear Regression,Cluster (8 features),-0.04501544448874482,0.018458090475664508,248099.33140347572
Ridge Regression,Cluster (8 features),-0.045013032841072144,0.018455956413217487,248099.69629015974
Random Forest,Cluster (8 features),-0.045043925242144935,0.018493702857281306,248028.59047365445
Gradient Boosting,Cluster (8 features),-0.045012931700025,0.018456437892803504,248099.64652746404
Linear Regression,TF-IDF (500 features),-0.07074486487528549,0.04746886966127644,242639.68239178322
Ridge Regression,TF-IDF (500 features),-0.0707309815450258,0.04746000359201056,242639.70017324894
Random Forest,TF-IDF (500 features),-0.043341001645333145,0.015720716400069498,247329.37448910982
Gradient Boosting,TF-IDF (500 features),-0.06768280286947478,0.025411079185234338,247404.05725468014
