Rank,word,importance
1,lunar,0.13932378919274702
2,rover,0.056899189191122794
3,demonstration,0.05198560566347956
4,thruster,0.04473338239942921
5,moon,0.04055679121022164
6,power,0.03829298218965768
7,size,0.03374456262397985
8,beyond,0.03354046454326267
9,space,0.02873080769872582
10,mar,0.02534942654642312
11,environment,0.023704894370098577
12,architecture,0.02318331218960179
13,operation,0.020765397762029184
14,meet,0.020396258315358674
15,deployment,0.0197517203012574
16,term,0.017006046597973657
17,deep,0.015692715140970977
18,material,0.013216102048609967
19,core,0.01274904464137932
20,communication,0.011226395013229114
